name,slug,value,date_of_information,ranking,region
"French Polynesia","french-polynesia","119,100","2024",180,"Australia and Oceania"
"Vanuatu","vanuatu","118,100","2024",181,"Australia and Oceania"
"Saint Lucia","saint-lucia","102,400","2024",182,"Central America and the Caribbean"
"Guernsey","guernsey","82,400","2024",183,"Europe"
"Jersey","jersey","82,400","2024",184,"Europe"
"Guam","guam","77,700","2024",185,"Australia and Oceania"
"Samoa","samoa","57,200","2024",186,"Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","52,100","2024",187,"Central America and the Caribbean"
"Virgin Islands","virgin-islands","47,200","2024",188,"Central America and the Caribbean"
"Tonga","tonga","34,800","2024",189,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","34,500","2024",190,"Africa"
